X,Y,objectid,arc_,streetcl_,streetcl_i,node_id,int_id,update_,intersecti,x_coord,y_coord
-8366870.92598401,4856794.85555664,10376,,,,23161,23161,1998/06/11 00:00:00+00,S CLIFTON ST & WASHINGTON AVE,,
-8366826.91210692,4856778.59734709,10377,,,,23181,23181,1998/06/12 00:00:00+00,S ALDER ST & WASHINGTON AVE,,
-8366749.34582464,4856861.88321452,10378,,,,23106,23077,1998/06/12 00:00:00+00,S 10TH ST & KIMBALL ST,,
-8366757.79690927,4856816.7647088,10379,,,,23142,23142,1998/06/12 00:00:00+00,S 10TH ST & LEAGUE ST,,
-8366737.91142886,4856937.1394128,10380,,,,23036,23036,1998/06/12 00:00:00+00,S 10TH ST & CARPENTER ST,,
-8366833.78237744,4857076.67212147,10381,,,,22893,22893,1998/06/12 00:00:00+00,S CLIFTON ST & SALTER ST,,
-8366844.15574598,4857046.75610261,10382,,,,22925,22925,1998/06/12 00:00:00+00,S CLIFTON ST & MONTROSE ST,,
-8366761.50380284,4857052.49792404,10383,,,,22919,22919,1998/06/12 00:00:00+00,S ALDER ST & SALTER ST,,
-8366875.57466074,4857136.49531069,10384,,,,22847,22847,1998/06/12 00:00:00+00,S 11TH ST & CHRISTIAN ST,,
-8366909.91116368,4856936.4440631,10385,,,,27203,23025,1998/06/12 00:00:00+00,S 11TH ST & KIMBALL ST,,
-8367023.71870223,4857108.84454064,10386,,,,22869,22869,1998/06/12 00:00:00+00,MONTROSE ST & S SARTAIN ST,,
-8366942.52041557,4857081.59957799,10387,,,,22898,22898,1998/06/12 00:00:00+00,S JESSUP ST & MONTROSE ST,,
-8366953.01253917,4857053.46004518,10388,,,,22923,22923,1998/06/12 00:00:00+00,HALL ST & S JESSUP ST,,
-8367031.96493988,4857081.32748623,10389,,,,22899,22899,1998/06/12 00:00:00+00,HALL ST & S SARTAIN ST,,
-8366887.18493716,4857062.71787946,10390,,,,22910,22910,1998/06/12 00:00:00+00,S 11TH ST & MONTROSE ST,,
-8366848.94634329,4856975.47140106,10391,,,,23003,23003,1998/06/12 00:00:00+00,CARPENTER ST & S CLIFTON ST,,
-8366836.38629079,4857010.09600779,10392,,,,22959,22959,1998/06/12 00:00:00+00,S CLIFTON ST & HALL ST,,
-8366825.65810375,4857040.42254187,10393,,,,22933,22933,1998/06/12 00:00:00+00,S CLIFTON ST & MONTROSE ST,,
-8366726.0864787,4857006.13203886,10394,,,,22960,22944,1998/06/12 00:00:00+00,S 10TH ST & MONTROSE ST,,
-8366730.10358812,4856982.41369527,10395,,,,22980,22980,1998/06/12 00:00:00+00,S 10TH ST & HALL ST,,
-8366723.51655995,4857018.4966516,10396,,,,22944,22944,1998/06/12 00:00:00+00,S 10TH ST & MONTROSE ST,,
-8366750.51562221,4857116.18721116,10397,,,,22863,22863,1998/06/12 00:00:00+00,S ALDER ST & CHRISTIAN ST,,
-8366708.26273281,4857109.51560617,10398,,,,22866,22866,1998/06/12 00:00:00+00,S 10TH ST & CHRISTIAN ST,,
-8366797.0384896,4857124.62088609,10399,,,,22856,22856,1998/06/12 00:00:00+00,CHRISTIAN ST & S WARNOCK ST,,
-8366731.35150419,4856973.5979238,10400,,,,22997,22980,1998/06/12 00:00:00+00,S 10TH ST & HALL ST,,
-8366720.52008355,4857038.75863861,10401,,,,22930,22930,1998/06/12 00:00:00+00,S 10TH ST & SALTER ST,,
-8367259.93003088,4857738.91192565,10402,,,,22234,22234,1998/06/12 00:00:00+00,S JUNIPER ST & SOUTH ST,,
-8367167.56427667,4857594.07780976,10403,,,,22388,22388,1998/06/12 00:00:00+00,S 13TH ST & BAINBRIDGE ST,,
-8367175.82124593,4857539.04053216,10404,,,,22457,22457,1998/06/12 00:00:00+00,S 13TH ST & KENILWORTH ST,,
-8367237.45899531,4857604.83320186,10405,,,,22374,22374,1998/06/12 00:00:00+00,BAINBRIDGE ST & S CLARION ST,,
-8367233.05341161,4857733.53399608,10406,,,,22242,22242,1998/06/12 00:00:00+00,S CLARION ST & SOUTH ST,,
-8367146.65861898,4857718.99174663,10407,,,,22252,22252,1998/06/12 00:00:00+00,S 13TH ST & SOUTH ST,,
-8367221.2310386,4857970.27869557,10408,,,,22036,22036,1998/06/12 00:00:00+00,S JUNIPER ST & WAVERLY ST,,
-8367108.40081218,4857949.04763028,10409,,,,22044,22044,1998/06/12 00:00:00+00,S 13TH ST & WAVERLY ST,,
